ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
R4,4,SINGLE,3rd Ventricle,636.8,B,VN,VENTRICLE,VENTRICLE,VENTRICLE,0
R11,11,SINGLE,4th Ventricle,1959.6,B,VN,VENTRICLE,VENTRICLE,VENTRICLE,0
R23,23,SINGLE,Right Accumbens Area,526,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,3
R30,30,SINGLE,Left Accumbens Area,585.9,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,3
R31,31,SINGLE,Right Amygdala,1021.3,R,GM,DEEP_WM_GM,Right Amygdala,Right Amygdala,11
R32,32,SINGLE,Left Amygdala,993.7,L,GM,DEEP_WM_GM,Left Amygdala,Left Amygdala,11
R35,35,SINGLE,Brain Stem,18491.6,B,NONE,NONE,NONE,NONE,0
R36,36,SINGLE,Right Caudate,3651.5,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,4
R37,37,SINGLE,Left Caudate,3578.9,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,4
R38,38,SINGLE,Right Cerebellum Exterior,54379.4,R,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,1
R39,39,SINGLE,Left Cerebellum Exterior,54582.6,L,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,1
R40,40,SINGLE,Right Cerebellum White Matter,15458.7,R,WM,CEREBELLUM,CEREBELLUM,CEREBELLUM,2
R41,41,SINGLE,Left Cerebellum White Matter,15500.7,L,WM,CEREBELLUM,CEREBELLUM,CEREBELLUM,2
R46,46,SINGLE,CSF,1011.6,B,CSF,NONE,NONE,NONE,0
R47,47,SINGLE,Right Hippocampus,3704.7,R,GM,DEEP_WM_GM,Right Hippocampus,Right Hippocampus,13
R48,48,SINGLE,Left Hippocampus,3597.7,L,GM,DEEP_WM_GM,Left Hippocampus,Left Hippocampus,13
R49,49,SINGLE,Right Inf Lat Vent,352.9,R,VN,VENTRICLE,VENTRICLE,VENTRICLE,67
R50,50,SINGLE,Left Inf Lat Vent,304.9,L,VN,VENTRICLE,VENTRICLE,VENTRICLE,67
R51,51,SINGLE,Right Lateral Ventricle,6629.5,R,VN,VENTRICLE,VENTRICLE,VENTRICLE,68
R52,52,SINGLE,Left Lateral Ventricle,7954.9,L,VN,VENTRICLE,VENTRICLE,VENTRICLE,68
R55,55,SINGLE,Right Pallidum,1638.8,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,5
R56,56,SINGLE,Left Pallidum,1597.6,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,5
R57,57,SINGLE,Right Putamen,4726,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,6
R58,58,SINGLE,Left Putamen,4942.3,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,6
R59,59,SINGLE,Right Thalamus Proper,8256.3,R,GM,DEEP_WM_GM,DEEP_GM,DEEP_GM,7
R60,60,SINGLE,Left Thalamus Proper,8574.1,L,GM,DEEP_WM_GM,DEEP_GM,DEEP_GM,7
R61,61,SINGLE,Right Ventral DC,4998.9,R,NONE,NONE,NONE,NONE,69
R62,62,SINGLE,Left Ventral DC,5192.8,L,NONE,NONE,NONE,NONE,69
R63,63,SINGLE,Right vessel,33.3,R,NONE,NONE,NONE,NONE,70
R64,64,SINGLE,Left vessel,36.5,L,NONE,NONE,NONE,NONE,70
R71,71,SINGLE,Cerebellar Vermal Lobules I-V,4899.8,B,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,0
