"ROI_COL","RMSE"
"R4",408.418309044075
"R11",527.917530022468
"R23",57.4859274923553
"R30",61.5728325526911
"R31",98.0408495796298
"R32",97.5786733610871
"R35",1556.29358637594
"R36",393.28216968473
"R37",370.693747640962
"R38",3981.14206675793
"R39",3941.34624207122
"R40",1388.89442712036
"R41",1357.07008619101
"R47",312.439429386178
"R48",296.975788915571
"R49",206.550524020048
"R50",196.319332424595
"R51",5330.80174927956
"R52",5950.22162521888
"R55",128.373662744898
"R56",131.648389174425
"R57",401.295989429548
"R58",403.166601358387
"R59",456.937078326229
"R60",474.636908108196
"R61",278.421727916305
"R62",288.74851282666
"R71",575.307221446304
"R72",261.585943140643
"R73",353.928917515654
"R75",100.252846861609
"R76",97.2890355186838
"R81",6036.68503419612
"R82",5899.73309010867
"R83",2207.06216664703
"R84",2224.03205941841
"R85",3026.33639922171
"R86",3272.52359991985
"R87",3397.88378522598
"R88",3348.46151032876
"R89",56.1361520657916
"R90",59.6992557493277
"R91",269.635293441113
"R92",240.706998155632
"R93",225.500037696798
"R94",213.407919081303
"R95",1331.67343197641
"R100",707.942294939953
"R101",698.588013369676
"R102",420.869066899377
"R103",423.722092025593
"R104",330.789332113184
"R105",295.851037972406
"R106",1345.04112600609
"R107",1287.84782051792
"R108",566.477033194988
"R109",572.551183980295
"R112",529.664057673414
"R113",453.221275410814
"R114",707.81401332753
"R115",705.34882119447
"R116",305.445811453851
"R117",295.893624955455
"R118",281.265802764645
"R119",296.301680095488
"R120",409.349327153825
"R121",499.261146443827
"R122",902.040790069793
"R123",873.22116211991
"R124",306.587914603545
"R125",261.917949119911
"R128",782.468727526602
"R129",751.408295464174
"R132",1174.583704787
"R133",1111.723945313
"R134",928.692602703106
"R135",950.039831541624
"R136",332.806714114911
"R137",366.378838535704
"R138",569.375407559626
"R139",553.937033281913
"R140",317.755650876072
"R141",326.302377802816
"R142",1856.65271619885
"R143",1820.45779238732
"R144",762.277845498406
"R145",864.965582240176
"R146",435.014717870731
"R147",472.44207032712
"R148",221.3057493584
"R149",243.105860844763
"R150",498.839905120443
"R151",434.246586651204
"R152",909.11950365356
"R153",801.567762912446
"R154",1356.99801594765
"R155",1382.5666866593
"R156",562.877615267987
"R157",648.325559831608
"R160",655.644551278281
"R161",598.446347217738
"R162",582.566435295831
"R163",559.351930414613
"R164",337.757212659719
"R165",319.998143011827
"R166",457.714245975845
"R167",482.590872151861
"R168",1222.49544975998
"R169",1260.23209111793
"R170",332.428990389899
"R171",328.401898965137
"R172",267.962060251856
"R173",266.94707857886
"R174",371.728452155787
"R175",409.73850964853
"R176",1095.81079143315
"R177",1176.64189440207
"R178",428.110901833302
"R179",449.120293484326
"R180",243.256100327017
"R181",276.171633480166
"R182",1263.21091806995
"R183",1262.75036246168
"R184",319.279110479224
"R185",359.939009258478
"R186",208.394734660165
"R187",214.519224669645
"R190",1409.88129912342
"R191",1397.72064189898
"R192",644.121999744186
"R193",675.617938504265
"R194",1077.62949740292
"R195",1068.92262224458
"R196",616.782941707358
"R197",557.440200753382
"R198",1092.95046272319
"R199",1111.06842782258
"R200",828.347708436563
"R201",863.513565567455
"R202",1098.25764827607
"R203",1097.18134835009
"R204",546.140145581152
"R205",587.124293914916
"R206",280.17984784428
"R207",354.951969255159
"R701",26695.2749707935
"R601",28033.0015109974
"R604",23972.4024775384
"R606",14118.5645017489
"R607",11952.0975105177
"R613",14142.4184440643
"R614",11907.249492169
"R501",1331.67343197641
"R502",9969.19075338074
"R503",2821.14025097845
"R504",16311.1122544353
"R505",2477.68198559041
"R506",7481.02161032375
"R507",9379.89319428247
"R508",8795.99824673258
"R509",11517.1454245862
"R510",4792.54301191456
"R511",1416.40591922533
"R512",8231.52753396187
"R513",1399.60325485775
"R514",4244.17252950471
"R515",5032.39750536584
"R516",4707.07707258932
"R517",6070.5521564446
"R518",4846.73228958623
"R519",1449.32574898578
"R520",8442.3712050482
"R521",1388.4141481748
"R522",4089.21851095978
"R523",4836.88284925319
"R524",4732.45015600558
"R525",5431.6183900882
"R401",1486.18715334316
"R402",911.950198211709
"R403",854.322136193541
"R404",12237.9876954504
"R405",11746.8056933337
"R406",2477.68198559041
"R407",5412.28729126453
"R408",4015.42656584315
"R409",6983.7072736043
"R410",6082.63571355624
"R411",6626.73248198199
"R412",6458.84378610255
"R413",748.057817861672
"R414",474.636908108196
"R415",421.43129289621
"R416",6208.9421715018
"R417",5899.73309010867
"R418",1399.60325485775
"R419",2964.37046401723
"R420",2224.03205941841
"R421",3643.09306772381
"R422",3272.52359991985
"R423",3481.6660858906
"R424",3348.46151032876
"R425",759.837230238788
"R426",456.937078326229
"R427",457.47682527082
"R428",6243.5178789891
"R429",6036.68503419612
"R430",1388.4141481748
"R431",2902.55402392524
"R432",2207.06216664703
"R433",3643.40522231727
"R434",3026.33639922171
"R435",3495.25264250468
"R436",3397.88378522598
